Day_,hour_,House_overall_kW,Dishwasher_kW,Furnace_kW,Home_office_kW,Fridge_kW,Garage_door_kW,Kitchen_kW,Microwave_kW,Living_room_kW,Solar_kW,temperature,humidity,visibility,pressure,windSpeed
141,0,0.47533,0,0.02075,0.05729,0.05217,0.01316,0.00068,0.00397,0.00157,0.00339,59.816,0.87667,9.06067,1014.13333,1.542
141,1,0.45709,0,0.02063,0.06122,0.02733,0.01309,0.00072,0.004,0.00168,0.00314,57.566,0.917,9.409,1014.778,1.758
141,2,0.5106,0,0.02068,0.06324,0.06969,0.01311,0.00063,0.004,0.00169,0.00314,56.23067,0.93867,7.20133,1014.90533,0.874
141,3,0.48124,0,0.02055,0.05839,0.05269,0.01305,0.00066,0.004,0.00167,0.00311,54.71933,0.93033,4.865,1015.06467,1.09033
141,4,0.44351,0,0.02035,0.05835,0.02126,0.01293,0.00073,0.00399,0.00163,0.0028,53.27833,0.95933,3.03267,1015.282,1.031
141,5,0.58414,1e-05,0.02016,0.05568,0.06685,0.01274,0.00063,0.0039,0.00143,0.0183,53.162,0.94067,3.32333,1015.06467,0.222
141,6,0.80174,1e-05,0.02696,0.05618,0.05851,0.01265,0.00065,0.00401,0.26141,0.05169,52.235,0.951,2.252,1015.293,0.839
141,7,0.50766,1e-05,0.06367,0.07338,0.02881,0.01762,0.00068,0.00405,0.10821,0.13176,52.328,0.96,2.146,1015.51333,2.36533
141,8,0.37837,1e-05,0.03691,0.06943,0.07043,0.01283,0.00063,0.00405,0.028,0.24782,51.53333,0.96,1.33167,1015.65,2.77
141,9,0.42247,3e-05,0.07123,0.04693,0.04756,0.01276,0.00064,0.0041,0.11011,0.31533,52.19,0.96,1.922,1015.994,4.328
141,10,0.82707,0.0004,0.60757,0.10336,0.02732,0.01202,0.00076,0.00411,0.06961,0.31992,54.271,0.95067,5.395,1016.40033,3.251
141,11,0.38793,3e-05,0.04936,0.04014,0.06773,0.01275,0.00061,0.0041,0.00268,0.3608,57.99733,0.88,8.9,1016.52133,3.36333
141,12,0.26824,1e-05,0.02008,0.04017,0.04868,0.0128,0.00066,0.04931,0.00304,0.31691,63.575,0.728,10,1016.565,2.829
141,13,0.12878,1e-05,0.02008,0.05558,0.04067,0.01801,0.00063,0.04908,0.00153,0.35952,70.35667,0.56,10,1016.45333,3.95
141,14,0.83653,0.6172,0.01904,0.03511,0.11758,0.01594,0.00053,0.004,0.00158,0.32093,76.94533,0.39433,10,1016.21933,7.25433
141,15,0.79312,0.63304,0.04352,0.03505,0.0378,0.01215,0.00071,0.00398,0.00157,0.25661,81.082,0.326,10,1015.832,9.304
